Industry_Code,Industry_Name
001,"Agriculture, Food, and Natural Resources"
002,Architecture and Construction
003,"Arts, Audio/Visual Technology, and Communications"
004,Business Management and Administration
005,Education and Training
006,Finance
007,Government and Public Administration
008,Health Science
009,Hospitality and Tourism
010,Human Services
011,Information Technology
012,"Law, Public Safety, Corrections, and Security"
013,Manufacturing
014,Marketing
015,"Science, Technology, Engineering, and Mathematics"
016,"Transportation, Distribution, and Logistics"